dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,rmse_train,rmse_test,mae_train,mae_test
kidney.arff,RegressionExceptionRules,0.682561645000078,0.6875014780000583,0.6825556755065918,8,0,4.375,35,0.79,0.35,0.615016865257264,0.6975737032616195,0.42294061147802176,0.5156414155076052
kidney.arff,DecisionTreeRegressor,0.0055488859998149564,0.005553524999868387,0.005548715591430664,14,0,4.071428571428571,57,0.0,0.0,0.33560702536105835,0.8722487457119873,0.24867924528301882,0.6659420289855071
laser.arff,RuleKit,0.20304793099990093,2.6835423619997982,1.339754581451416,56,0,3.5535714285714284,199,0.84,0.61,29.72114688756231,30.934465357076082,21.861051358261204,24.023608259138804
laser.arff,RegressionRules,15.473670027000026,15.48022449300015,15.473764181137085,58,0,4.913793103448276,285,0.83,0.6,29.857385083036927,31.64594245226558,21.894981139454536,24.46334936833645
laser.arff,RegressionExceptionRules,72.73334819999991,72.7582760549999,72.73681497573853,58,0,4.913793103448276,285,0.83,0.6,29.857385083036927,31.64594245226558,21.894981139454536,24.46334936833645
laser.arff,DecisionTreeRegressor,0.006425629999966986,0.006453713000155403,0.006425380706787109,30,0,4.933333333333334,148,0.0,0.0,11.904845171166203,16.688171034246846,7.547388763780029,9.789244850787842
longley.arff,RuleKit,0.00820514700012609,0.029157140000052095,0.009975194931030273,2,0,1.0,2,0.63,1.0,1607.5879202121796,1628.9652999509972,1357.563636363636,1566.693333333332
longley.arff,RegressionRules,0.02794768200010367,0.02794828400010374,0.027947187423706055,2,0,1.5,3,0.6,1.0,1928.611370437761,2204.0340505536656,1562.327272727272,2058.6399999999994
longley.arff,RegressionExceptionRules,0.07970182099984413,0.07975061299998742,0.07970094680786133,2,0,1.5,3,0.6,1.0,1928.611370437761,2204.0340505536656,1562.327272727272,2058.6399999999994
longley.arff,DecisionTreeRegressor,0.006456197999796132,0.006454565000012735,0.006455898284912109,3,0,1.6666666666666667,5,0.0,0.0,1542.666389041645,1440.5411149981119,1338.7151515151518,1321.7600000000007
lowbwt.arff,RuleKit,0.051140271999884135,0.1768194589999439,0.06530594825744629,9,0,3.6666666666666665,33,0.77,0.65,436.54533565206873,438.18377290176306,351.3311765357971,359.15954303740614
