dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,balanced_accuracy__train,accuracy__train,recall__train,precision__train,f1_score__train,balanced_accuracy__test,accuracy__test,recall__test,precision__test,f1_score__test
segment.arff,algorithm_cer_with_exceptions_prediction_type_1,1006.2859201800001,1006.854891954,1009.61305975914,80,0,3.0875,247,0.94,0.46,0.9486816879088497,0.9499072356215214,0.9486816879088497,0.9507232353326114,0.9488381470099606,0.9212581809317025,0.9177489177489178,0.9212581809317025,0.9237387493872783,0.9212047193585698
segment.arff,algorithm_cer_with_exceptions_prediction_type_2,1006.2859201800001,1006.854891954,1009.61305975914,80,0,3.0875,247,0.94,0.46,0.9486816879088497,0.9499072356215214,0.9486816879088497,0.9507232353326114,0.9488381470099606,0.9212581809317025,0.9177489177489178,0.9212581809317025,0.9237387493872783,0.9212047193585698
segment.arff,algorithm_cer_with_exceptions_prediction_type_3,1006.2859201800001,1006.854891954,1009.61305975914,80,0,3.0875,247,0.94,0.46,0.9486816879088497,0.9499072356215214,0.9486816879088497,0.9507232353326114,0.9488381470099606,0.9212581809317025,0.9177489177489178,0.9212581809317025,0.9237387493872783,0.9212047193585698
segment.arff,decision_tree,0.02066719100002956,0.02073511799994776,0.02066659927368164,9,0,4.111111111111111,37,0.0,0.0,0.8298885941384327,0.8367346938775511,0.8298885941384327,0.851387265032045,0.8111590873477593,0.8269991423073383,0.810966810966811,0.8269991423073383,0.8456057866522533,0.8000065504865821
seismic-bumps.arff,algorithm_rulekit,0.4626095769999665,4.64292397600002,0.9594287872314453,161,0,4.15527950310559,669,0.92,0.39,0.698757120401118,0.9424778761061947,0.698757120401118,0.7685022703219418,0.727342857308578,0.6147863983924424,0.9175257731958762,0.6147863983924424,0.6530285634763247,0.6302561048243002
seismic-bumps.arff,algorithm_cer,50.048387447000096,50.06772976399975,50.08626317977905,158,0,4.158227848101266,657,0.92,0.4,0.6853452415250167,0.9397123893805309,0.6853452415250167,0.7532178764777373,0.7128967170006484,0.653213810381273,0.9239690721649485,0.653213810381273,0.6904437524328533,0.6692266011631688
seismic-bumps.arff,algorithm_cer_with_exceptions_prediction_type_0,88.90287734599974,88.9332450869997,89.30303263664246,73,0,2.219178082191781,162,0.82,0.49,0.6243334495847801,0.9297566371681416,0.6243334495847801,0.6917064122946476,0.6489991210303054,0.6161695242568961,0.9201030927835051,0.6161695242568961,0.6628021797169295,0.6343517251861985
seismic-bumps.arff,algorithm_cer_with_exceptions_prediction_type_1,88.90287734599974,88.9332450869997,89.30303263664246,73,0,2.219178082191781,162,0.82,0.49,0.6243334495847801,0.9297566371681416,0.6243334495847801,0.6917064122946476,0.6489991210303054,0.6161695242568961,0.9201030927835051,0.6161695242568961,0.6628021797169295,0.6343517251861985
seismic-bumps.arff,algorithm_cer_with_exceptions_prediction_type_2,88.90287734599974,88.9332450869997,89.30303263664246,73,0,2.219178082191781,162,0.82,0.49,0.6243334495847801,0.9297566371681416,0.6243334495847801,0.6917064122946476,0.6489991210303054,0.6161695242568961,0.9201030927835051,0.6161695242568961,0.6628021797169295,0.6343517251861985
seismic-bumps.arff,algorithm_cer_with_exceptions_prediction_type_3,88.90287734599974,88.9332450869997,89.30303263664246,73,0,2.219178082191781,162,0.82,0.49,0.6243334495847801,0.9297566371681416,0.6243334495847801,0.6917064122946476,0.6489991210303054,0.6161695242568961,0.9201030927835051,0.6161695242568961,0.6628021797169295,0.6343517251861985
